row_index,original_text,translated_text,label,Split
0,Normal bin ich ja ned der mensch dwer sich beschwert wegen dem essen aber diese Pizza von Joeys...boah wie ekelhaft,"Normally, I'm not the kind of person who complains about food, but this pizza from Joey's... ugh, how disgusting.",0,train
1,VfB Stuttgart gegen SV Hamburg: Das Warten auf den nächsten Schritt - Stuttgarter Zeitung: DIE WELTVfB Stuttga... http,VfB Stuttgart vs. SV Hamburg: The Wait for the Next Step - Stuttgarter Zeitung: THE WORLD VfB Stuttga...,1,train
2,@user @user @user @user @user @user @user @user fühlt sich schon so spät an 😚😚😚,@user @user @user @user @user @user @user @user feels so late already 😚😚😚,2,train
3,@user glaub ich! XD 30€ sind echt not bad T___T *grübel*,@user I believe it! XD 30€ is really not bad T___T *ponder*,0,train
4,@user. Diviertete,@user. Have fun,1,train
5,"@user @user plopp plopp plopp: frisches Popcorn rüber reich. Coke? klar, kein Thema!","@user @user plop plop plop: passing over fresh popcorn. Coke? Sure, no problem!",2,train
6,"Ach Scheiss drauf, dann eben nich","Ah, screw it, then just forget it.",0,train
7,"RT @user: Was ist das für eine Glaubwürdigkeit, wenn wir sagen wir sind keine Verbotspartei und gleichzeitig Verbote fordern @user…",RT @user: What kind of credibility is it when we say we are not a party of bans and at the same time demand bans @user…,1,train
8,He's so charming. Man muss ihn einfach lieben #samuhaber #tvog,He's so charming. You just have to love him. #samuhaber #tvog,2,train
9,"Dieses Gefühl, wenn man von Personen enttäuscht wird...",That feeling when you are disappointed by people...,0,train
10,Sieben künstlerische Projekträume ausgezeichnet http #Berlin,Seven artistic project spaces awarded http #Berlin,1,train
11,@user Cool! Keine weiteren Fragen. ;-),@user Cool! No further questions. ;-),2,train
12,@user kamu syahrenong:-(,@user you are annoying :-(,0,train
13,"Wer muss bis 8 in Krefeld arbeiten, geht dann direkt ins Fitnessstudio und muss dann nachts zu Hause die Spülmaschine ausräumen?","Who has to work in Krefeld until 8, then goes directly to the gym, and has to unload the dishwasher at home at night?",1,train
14,"@user hab keine, bin lieb zu dir. ^_^","@user don't have any, I'm being nice to you. ^_^",2,train
15,NDR. Seniorenchor. Absolute Fassungslosigkeit meinerseits.,NDR. Senior Choir. Absolute bewilderment on my part.,0,train
