row_index,original_text,translated_text,label,Split
0,@srbachchan #shamitabh #piddly #shamitabhtrailerlaunch .... piddly si baatien...!! yeah!!! http://t.co/r3r1bqklqe,@srbachchan #shamitabh #piddly #shamitabhtrailerlaunch .... trivial little things...!! yeah!!! http://t.co/r3r1bqklqe,0,train
1,@shaziailmi kya hua??? haar bardaash nahi hua. ur cm candidate ran &amp; u followed her running from @timesnow #aapsweep #aapstorm #aap,"@shaziailmi What happened??? Couldn't handle the defeat. Your CM candidate ran away and you followed her, running from @timesnow #aapsweep #aapstorm #aap",1,train
2,i can listen crackers sounds.. out side the courtyard.. #indvssa #indiavssouthafrica,I can hear the sound of crackers outside in the courtyard.. #INDvsSA #IndiaVsSouthAfrica,2,train
3,I think vai app padhtey hongey plzz mai appse milna chata hu,"I think you might be studying there. Please, I want to meet you.",0,train
4,abp ka bachha hogya kya :,Has your baby been born yet?,1,train
5,masha allah good....yeh hain meri hindi,"Masha Allah, good....this is my Hindi.",2,train
6,@someUSER capello had a draw in his 4th game with juve in the serie a (2004/2005) . ,@someUSER Capello had a draw in his 4th game with Juve in Serie A (2004/2005).,0,train
7,guddu hmara bada ho k jarur politican banega  .  .  .  . aaaiiiyyyeeee .  .  .  . ,Guddu will definitely become a politician when he grows up... aaaiiiyyyeeee...,1,train
8,yaar aankh khuli ni aur ye padh liya din hi kharab hai,"Friend, I just woke up and read this, my day is already ruined.",2,train
9,shaan is like .  .  question kahin mujh par na aajaye :p,Shaan is like... hoping no questions come my way :p,0,train
10,rt @rewati5: *yawning* finally it's a win! #indvsuae,*yawning* finally it's a win! #indvsuae,1,train
11,uae batsman !!kuchh samay to guzaaro crease pe #indvsuae,UAE batsman!! Spend some time at the crease #indvsuae,2,train
12,Bahut log hai jo aapse baat karna chahte hai..plzzzzzz dn't brk thr hearts sir plzzzz,"There are many people who want to talk to you.. please don't break their hearts, sir, please.",0,train
13,Tu dekh liyo ?? ,Did you see it?,1,train
14,ye bhi add kr dete garbage bin,"""Add this to the garbage bin too.""",2,train
15,contra mein 30 lives ke liye sachme chit tha ?  ?  :( kabhi pata hi nahi tha :'(,Was the cheat for 30 lives in Contra real? :( I never knew :'(,0,train
16,"kaash viva me ese rone se marks mil jaya krte .  .  .  .  "" sir padha toh tha pr abi yaad nhi aa rha  .  .  .  . boohoohoo ""  :p ;)","I wish crying in exams could earn marks... ""Sir, I did study but I can't remember right now... boohoohoo"" :p ;)",1,train
17,"lucky shops are coming to nyc ! : the sale of the season hosted by lucky magazine with grammy winner jennifer hudson ,  starts november 1 .  .  . ",Lucky Shops are coming to NYC! The sale of the season hosted by Lucky Magazine with Grammy winner Jennifer Hudson starts November 1...,2,train
18,Next year😜 ,Next year😜,0,train
19,"&amp; i think i m d only laziest kaam s jee churaane vaala , meet all d baap of aalasis , nikahtoo of india #rahulonleave","And I think I'm the only laziest person who avoids work, meet all the fathers of laziness, the idlers of India #rahulonleave",1,train
20,that movie flight with denzel looks really good !  may have to go check it out,"That movie ""Flight"" with Denzel looks really good! I might have to go check it out.",2,train
21,"i never believed in this sort of stuff but when i read it ,  i found that this is true","I never believed in this sort of stuff, but when I read it, I found that it is true.",0,train
22,#ind is definitely going to win tomorrow's match #indvsuae #cwc15,#IND is definitely going to win tomorrow's match #INDvsUAE #CWC15,1,train
23,mera kuch ni malum main kb shopping  kr lu ,I don't know when I should go shopping.,2,train
24,anyone else find it entertaining that ash wednesday and national margarita day fall on the same day ? ,Does anyone else find it amusing that Ash Wednesday and National Margarita Day fall on the same day?,0,train
25,mostly gls k parents aise hi hote h ... or ye tumhe pehli br pta chla h kya jb itna feel hota h to log bf q bnate h itne sare .... nautanki .... ,"Mostly, girls' parents are like this... and is this the first time you're realizing it? When you feel this way, why do people make so many boyfriends... drama...",1,train
26,bed ke pichhe se contra ka poster kahan gaya ?  ? ,Where did the Contra poster behind the bed go?,2,train
27,Salman Bhai yeh bajrangi bhaijan pe comment aa rhe hai is movie ko nhee dekhna,"Salman Bhai, there are comments coming in about Bajrangi Bhaijaan saying not to watch this movie.",0,train
28,Aaray Yaar koi toh bolo sab comment kar re khali kispe baat karinge bhi,"Hey, someone say something, everyone is just commenting, what are we even going to talk about?",1,train
29,script ke jagah homework ka puchti tab pta chalta uske rug rug me acting hai :d,"If she asked for homework instead of a script, it would be clear that acting is in her every fiber. :d",2,train
30,syrian delegation withdrew from 1st session of the non-aligned movement summit in iran as mohamed morsi addressed #syria crisis,The Syrian delegation withdrew from the first session of the Non-Aligned Movement summit in Iran as Mohamed Morsi addressed the Syria crisis.,0,train
31,gf hi to bna rhe h yha ... kranti wranti to bad me hoti rhegi ;) ,People are just having fun here ... revolutions and all can happen later ;),1,train
32,indiaaah india - with ever cheer and with every run pakistan like mohd. irfan will crumble and be all over the place #indvspak,"Indiaaaah India - with every cheer and every run, Pakistan, like Mohammad Irfan, will crumble and be all over the place. #INDvsPAK",2,train
33,bhaiyo aman ki bto m mt aana ye bjp ko bdnam karne ki sajish hai .  ab aap log congress ke piche kyu ni padte unse dosti ho gayi hai aap logo ki isliye . ,"Brothers, don't get involved in talks of peace; this is a conspiracy to defame the BJP. Now, why don't you go after Congress? Have you become friends with them or what?",0,train
34,jaago hinduo jaago murkh na bano ye kejri bhi deshdrohi gadaar hai like congress,ERROR: 'NoneType' object has no attribute 'strip',1,train
35,modi ji aage chalo haem aapki jarurat hai,"Modi ji, move forward, we need you.",2,train
36,aap to paagai thai channelwale bhi,"You were crazy, and so were the people from the channel.",0,train
