row_index,original_text,translated_text,label,Split
0,"Que gafe do VídeoShow, colocar uma cena de morte, no dia da morte do Nelson Xavier.  #VideoShowAoVivo",ERROR: 'NoneType' object has no attribute 'strip',0,train
1,Tapoha q prova difícil #MasterChefBR,This test is tough #MasterChefBR,1,train
2,A voz da Vanessa da mata é uma coisa maravilhosa #altasHoras,Vanessa da Mata's voice is a wonderful thing #altasHoras,2,train
3,poooooooorra Mirian deixa o cara abrir a panela  #MasterChefBR,"Damn, Mirian, let the guy open the pot #MasterChefBR",0,train
4,"#MasterChefBR preciso parar de assistir esse programa, a vontade de cursar gastronomia aumenta a cada ep","#MasterChefBR I need to stop watching this show, the desire to study gastronomy increases with each episode.",1,train
5,A Globo ja pode contratar a Mirian #MasterChefBR,Globo can already hire Mirian #MasterChefBR,2,train
6,#VideoShowAoVivo @user  que saudades do Wando. Muito romântico!,#LiveVideoShow @user I miss Wando. Very romantic!,0,train
7,A Fátima já podia pedir pra o Nando cantar né? #NandoReisNoEncontro #Encontro,"Fátima could already ask Nando to sing, right? #NandoReisNoEncontro #Encontro",1,train
8,A @user está linda! #encontro,The @user looks beautiful! #meeting,2,train
9,Todo dia é um 7 X 1 diferente...Só TOMBO! #MasterChefBR,Every day is a different 7 X 1... Just a FALL! #MasterChefBR,0,train
10,"Já, já logo após o #JornalRational no #ProgramaDoRatinho ☺😂, tem #APraçaÉNossa em seguida tem Carlos Alberto no #TheNoite no @user.","Sure! Here's the translation:

""Yes, yes, right after #JornalRational on #ProgramaDoRatinho ☺😂, there's #APraçaÉNossa, and then Carlos Alberto on #TheNoite on @user.""",1,train
11,O cabelo dá Ana está maravilhoso #MaisVoce,Ana's hair looks wonderful #MaisVoce,2,train
12,"gente, q história eh essa q a Ana Luíza foi desclassificada do #MasterChefBR pq já trabalho como profissional????? tava lavando meu cabelo","Hey everyone, what's this story about Ana Luíza being disqualified from #MasterChefBR because she already works as a professional???? I was washing my hair",0,train
13,@user @user @user @user Nossa ontem eu ri tanto com a Yuko do #MasterChefBR com a história do pênis!,"Wow, yesterday I laughed so much with Yuko from #MasterChefBR with the penis story!",1,train
14,#videoshowaovivo Lindooo o look da Lu Ferreira.. joca e otaaa beijuu😗,#videoshowlive Lu Ferreira's look is sooo beautiful.. hugs and kisses 😗,2,train
15,"Esses colunistas do UOL adoram o SBT, me poupe darem destaque para o esdrúxulo #TheNoite mau gosto define!","Those UOL columnists love SBT, spare me from giving attention to the bizarre #TheNoite, bad taste defines it!",0,train
16,É a @user ou @user no #Encontro?,Is it @user or @user at the #Meeting?,1,train
17,"Jacquin é muito fofo, dá vontade de abraçar ele #MasterChefBR","Jacquin is so cute, it makes you want to hug him #MasterChefBR",2,train
18,vitor b não pode sair hoje  #MasterChefBR,Vitor B can't go out today #MasterChefBR,0,train
19,G1 em 1 minuto no #Encontro,G1 in 1 minute on #Encontro,1,train
