Original,Split,Literal_Translation,Fluent_Translation,Sentiment,Cleaned_Literal_Translation,Cleaned_Fluent_Translation
RT @user: @user @user   وصلنا لاقتصاد اسوء من سوريا والعراق ومن غير حربانجاز ده ولا مش انجاز يا متعلمين يا بتوع المدا…,train,RT @user: @user @user We're here. For an economy. Worse. Who? Syria Iraq It's... Other A war of accomplishment. That's it. And no. I don't... Achieved Hey. Educated. Hey. Okay. The tide...,"RT @user: @user @user we've reached an economy worse than Syria and Iraq, and without war we've accomplished this, and there's no achievement, you learned tidals...",0,RT @user: @user @user We're here. For an economy. Worse. Who? Syria Iraq It's... Other A war of accomplishment. That's it. And no. I don't... Achieved Hey. Educated. Hey. Okay. The tide...,"RT @user: @user @user we've reached an economy worse than Syria and Iraq, and without war we've accomplished this, and there's no achievement, you learned tidals..."
كاني ويست، دريك، نيكي، بيونسيه، قاقا http,train,"Kane. West, Drake, Nikki, Beyoncé, Qaqa http","Kenny West, Drake, Nicky, Beyoncé, Gaga, http",1,"Kane. West, Drake, Nikki, Beyoncé, Qaqa http","Kenny West, Drake, Nicky, Beyoncé, Gaga, http"
@user على فكره شركة محترمه حداعطوني كيبل كهديه  ويوم قتله انه شحنه بيكلفني اكثر من قيمته قال دش امازون واختار اي شي قيمته ٣٠ دولار,train,@user On... An idea. A company. Respectful. They gave me a hunch. Cable. As a gift. And a day. Kill him. It's... Charge it. Beckle me. More. Who? Value He said... Shower. Amazon. And choose. Ah. She's... Value 30 Dollars.,"@user, by the way, a respected company gave me Kibble as a gift, and the day he was killed, he shipped it to cost me more than his worth, he said, ""Amazon shower, and he chose anything worth $30... and he said, ""Oh, yeah, yeah, yeah, yeah, yeah, yeah, yeah, yeah, yeah, yeah, yeah, yeah, yeah, yeah, yeah, yeah, yeah, yeah, yeah, yeah, yeah, yeah, yeah, yeah, yeah, yeah, yeah, yeah, yeah, yeah, yeah, yeah, yeah, yeah, yeah, yeah, yeah, yeah, yeah, yeah, yeah, yeah, yeah, yeah, yeah, yeah, yeah, yeah, yeah, yeah, yeah, yeah, yeah, yeah, yeah, yeah, yeah, yeah, yeah, yeah, yeah, yeah, yeah, yeah, yeah, yeah, yeah, yeah, yeah, yeah, yeah, yeah, yeah, yeah, yeah, yeah, yeah, yeah, yeah, yeah, yeah, yeah, yeah, yeah, yeah, yeah................",2,@user On... An idea. A company. Respectful. They gave me a hunch. Cable. As a gift. And a day. Kill him. It's... Charge it. Beckle me. More. Who? Value He said... Shower. Amazon. And choose. Ah. She's... Value 30 Dollars.,"@user, by the way, a respected company gave me Kibble as a gift, and the day he was killed, he shipped it to cost me more than his worth, he said, ""Amazon shower, and he chose anything worth $30... and he said, ""Oh, yeah."
RT @user: المتعه افضل من الزواج لهتك اعراض عامة #الشيعهعبث باسم الاسلام  http,train,RT @user: Fun. Better. Who? Marriage For you. Symptoms. General # The hype is messing around In the name of Islam http,"== sync, corrected by elderman == @elder_man",0,RT @user: Fun. Better. Who? Marriage For you. Symptoms. General # The hype is messing around In the name of Islam http,"== sync, corrected by elderman == @elder_man"
القوات البرية السعودية والقوات الفرنسية الخاصة تؤديان التمرين المشترك «سانتول» http,train,Troops Wild Saudi Arabia Troops. French Special You perform. Practice. Joint SANTOL... http,Saudi Land Forces and French Special Forces are conducting joint exercise.,1,Troops Wild Saudi Arabia Troops. French Special You perform. Practice. Joint SANTOL... http,Saudi Land Forces and French Special Forces are conducting joint exercise.
@user @user اي علمي هاشم الي عنده بيونسيه افضل وحده وهي اغانيها,train,@user @user Ah. Science. Hashem. To me. He's got it. Beyoncé. Better. Alone. And her. Her songs.,@user @user_screams to me that Beyoncé has the best alone is her songs.,2,@user @user Ah. Science. Hashem. To me. He's got it. Beyoncé. Better. Alone. And her. Her songs.,@user @user_screams to me that Beyoncé has the best alone is her songs.
RT @user: يحرقون حلب ثم يبكون اليمن .. #أحقر_الناس,train,RT @user: Burning. Aleppo And then... They're crying. Yemen I... # Dirty-people #,RT @user: Burning Aleppo and crying Yemen.,0,RT @user: Burning. Aleppo And then... They're crying. Yemen I... # Dirty-people #,RT @user: Burning Aleppo and crying Yemen.
@user اهيه الي مسويه اكونت غوتشي امس اتوقع!,train,@user Aah! To me. Settle it. I've been... Gucci. Yesterday. I expect!,"@user, it's to be settled yesterday's Gocci Kent I expect... ♪ I'm not gonna tell you... ♪ ♪ I'm gonna tell you what I'm gonna do ♪ ♪ I'm gonna tell you ♪ ♪ I'm gonna tell you ♪ ♪ I'm gonna tell you ♪ ♪ I'm gonna do it ♪ ♪ I'm gonna do it ♪ ♪ I'm gonna do it ♪ ♪ I'm gonna do it ♪ ♪ I'm gonna do it ♪ ♪ I'm gonna do it ♪ ♪ I'm gonna do it ♪ I'm gonna do it ♪ ♪ I'm gonna do it ♪ ♪ I'm gonna do it ♪ I'm gonna do it ♪ ♪ I'm gon'm gonna do it ♪",1,@user Aah! To me. Settle it. I've been... Gucci. Yesterday. I expect!,"@user, it's to be settled yesterday's Gocci Kent I expect... ♪ I'm not gonna tell you... ♪ ♪ I'm gonna tell you what I'm gonna do ♪ ♪ I'm gonna tell you ♪ ♪ I'm gonna tell you ♪ ♪ I'm gonna tell you ♪ ♪ I'm gonna do it ♪ ♪ I'm gonna do it ♪ ♪ I'm gonna do it ♪ ♪ I'm gonna do it ♪ ♪ I'm gonna do it ♪ ♪ I'm gonna do it ♪ ♪ I'm gonna do it ♪ I'm gonna do it ♪ ♪ I'm gonna do it ♪ ♪ I'm gonna do it ♪ I'm gonna do it ♪ ♪ I'm gon'm gonna do it ♪"
@user راح يشلخونكم الساحر ميسي والمجنون سواريز ونيمار11ي ططططححححااااالللبب🐸🐸🐸🐸🐸🐸وبتشوف👈🐸🐸🐸🐸😂😂😂,train,"@user He's gone. They claw you. The Wizard. Missy. And crazy. Suarez. And Nimar 11. It's okay. It's okay. It's okay, it's okay.","@user will skin you, Magician Missy, Crazy Suarez, and Nimar11i Tatohhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhh",2,"@user He's gone. They claw you. The Wizard. Missy. And crazy. Suarez. And Nimar 11. It's okay. It's okay. It's okay, it's okay.","@user will skin you, Magician Missy, Crazy Suarez, and Nimar11i"
"#القرموطي لـ""#المملكة"":حذاري من محاولة الحديث عن #مصر وموقفكم في مصلحة لـ #إسرائيل#السعودية… http",train,"# The carmot... ♪ The kingdom ♪ ♪ Watch out ♪ Who? Try. Talk. About... # Egypt And your position. Fi. Interest. For... Israel, Saudi Arabia... http",The Carmoth of the Kingdom: Beware of trying to talk about Egypt and your position in the interest of Saudi Israel...,0,"# The carmot... ♪ The kingdom ♪ ♪ Watch out ♪ Who? Try. Talk. About... # Egypt And your position. Fi. Interest. For... Israel, Saudi Arabia... http",The Carmoth of the Kingdom: Beware of trying to talk about Egypt and your position in the interest of Saudi Israel...
