Original,Split,Literal_Translation,Fluent_Translation,Sentiment,Cleaned_Literal_Translation,Cleaned_Fluent_Translation
Normal bin ich ja ned der mensch dwer sich beschwert wegen dem essen aber diese Pizza von Joeys...boah wie ekelhaft,train,Normal I am I Yes ned of the Human dwer you Weighed for The eat but This Pizza from Joeys...boah how It's disgusting.,I'm usually ned the man who complains about eating but this pizza from Joey's...boah how disgusting,0,Normal I am I Yes ned of the Human dwer you Weighed for The eat but This Pizza from Joeys...boah how It's disgusting.,I'm usually ned the man who complains about eating but this pizza from Joey's...boah how disgusting
VfB Stuttgart gegen SV Hamburg: Das Warten auf den nächsten Schritt - Stuttgarter Zeitung: DIE WELTVfB Stuttga... http,train,"VfB Stuttgart against SV Hamburg: The Waiting on the Next Step - No, no, no, no, no, no, no. Stuttgarter Newspaper: THE WELTVfB Stuttga... http:",VfB Stuttgart vs. SV Hamburg: Waiting for the next step - Stuttgarter Zeitung: DIE WELTVfB Stuttga... http: / / /www. /www. /www. /www. /www. /www. /www. /www. /www. /www. /www. /www. /www. /www. /www. /www. /www. /www. /www. /www. /www. /www. /www. /www. /www. / /www. / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / /,1,VfB Stuttgart against SV Hamburg: The Waiting on the Next Step - No. Stuttgarter Newspaper: THE WELTVfB Stuttga... http:,VfB Stuttgart vs. SV Hamburg: Waiting for the next step - Stuttgarter Zeitung: DIE WELTVfB Stuttga... http: / / /www. /
@user @user @user @user @user @user @user @user fühlt sich schon so spät an 😚😚😚,train,@user @user @user @user @user @user @user @user feels you already so Late to ,@user @user @user @user @user @user @user @user @user already feels so late,2,@user @user @user @user @user @user @user @user feels you already so Late to,@user @user @user @user @user @user @user @user @user already feels so late
@user glaub ich! XD 30€ sind echt not bad T___T *grübel*,train,"@user believe Me! XD 30€ are Real not bath T____T - No, no, no, no, no, no, no, no, no, no.",@user I think! XD 30€ are really not bad T___T *grübel* . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . .,0,@user believe Me! XD 30€ are Real not bath T____T - No.,@user I think! XD 30€ are really not bad T___T *grübel* .
@user. Diviertete,train,@user. Divided,@user. Diverted,1,@user. Divided,@user. Diverted
"@user @user plopp plopp plopp: frisches Popcorn rüber reich. Coke? klar, kein Thema!",train,"@user @user Puppet Puppet popp: fresh Popcorn Over ==References== Coke? of course, none Subject!","@user @user popp popp popp popp: fresh popcorn over rich. Coke? clear, no topic!",2,"@user @user Puppet Puppet popp: fresh Popcorn Over ==References== Coke? of course, none Subject!","@user @user popp: fresh popcorn over rich. Coke? clear, no topic!"
"Ach Scheiss drauf, dann eben nich",train,"Oh Fuck you. on it, then level I don't know.","Fuck it, then I don't want you to do it. I don't want you to do it. I don't want you to do it. I don't want you to do it. I don't want you to do it. I don't want you to do it, I don't want you to do it, I don't want you to do it, I don't want you to do it, I don't want you to do it, I don't want you to do it, I don't want to do it, I don't want you to do it, I don't want to do it, I don't want to do it, I don't want to do it, I don't want to do it, I don't want to do it, I don't want to do it, I don't want to do it.",0,"Oh Fuck you. on it, then level I don't know.","Fuck it, then I don't want you to do it. I don't want you to do it. I don't want you to do it. I don't want you to do it. I don't want you to do it. I don't want you to do it, I don't want you to do it, I don't want you to do it, I don't want you to do it, I don't want you to do it, I don't want you to do it, I don't want to do it, I don't want you to do it, I don't want to do it, I don't want to do it, I don't want to do it, I don't want to do it, I don't want to do it, I don't want to do it, I don't want to do it."
"RT @user: Was ist das für eine Glaubwürdigkeit, wenn wir sagen wir sind keine Verbotspartei und gleichzeitig Verbote fordern @user…",train,"RT @user: What is the for one credibility, if: we say we are none Prohibition Party and at the same time Prohibitions demand @user...",RT @user: What credibility is that when we say we are not a prohibition party and at the same time demand bans @user...,1,"RT @user: What is the for one credibility, if: we say we are none Prohibition Party and at the same time Prohibitions demand @user...",RT @user: What credibility is that when we say we are not a prohibition party and at the same time demand bans @user...
He's so charming. Man muss ihn einfach lieben #samuhaber #tvog,train,"Hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey! so Charming. - You don't have to do this. must: he simple love #samuhaber #tvog",Hey so charming. You just have to love him #samuhaber #tvog,2,Hey! so Charming. - You don't have to do this. must: he simple love #samuhaber #tvog,Hey so charming. You just have to love him #samuhaber #tvog
"Dieses Gefühl, wenn man von Personen enttäuscht wird...",train,"This feeling, if: you from Persons Disappointed will...",This feeling when you get disappointed by people.. . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . .,0,"This feeling, if: you from Persons Disappointed will...",This feeling when you get disappointed by people.
