Original,Split,Literal_Translation,Fluent_Translation,Sentiment,Cleaned_Literal_Translation,Cleaned_Fluent_Translation
@user mi fa sbagliare tutte le paroleeeee.,train,@user mi ago err all i Words.,@user makes me miss all the words.,0,@user mi ago err all i Words.,@user makes me miss all the words.
@user perfetto hai visto poi alla fine anche oggi e passato..,train,@user perfect you have Seen then to end whether or not Today and past..,@user perfect you saw then in the end even today and past..,1,@user perfect you have Seen then to end whether or not Today and past..,@user perfect you saw then in the end even today and past..
"Rutelli: appoggio al governo #monti, sta lavorando bene #ballarò #osservatoriotivvù",train,"Wheels: support to Government #Mountains, It's... it's... it's... it's... it's... it's... it's... it's... it's... it's... it's... it's.. it's... it's... it's... it's... it's... it's.. working Good. #I'll dance #observatory","Rutelli: support to the government #monti, is working well #ballarò #observatoriotivù",2,"Wheels: support to Government #Mountains, It's... it's.. it's... it's.. working Good. #I'll dance #observatory","Rutelli: support to the government #monti, is working well #ballarò #observatoriotivù"
RT @user: Non legalizzano la #cannabis Ma iper tassano le cartine. Questi sono geni della finanza. #governoletta #proibizionismo,train,RT @user: No legalize the #cannabis But hyper tax i maps. These are genes of the Finance. #Governance #prohibitionism,RT @user: They don't legalize the #cannabis But hyper tax the maps. These are geniuses of finance. #governmentlet #prohibitionism,0,RT @user: No legalize the #cannabis But hyper tax i maps. These are genes of the Finance. #Governance #prohibitionism,RT @user: They don't legalize the #cannabis But hyper tax the maps. These are geniuses of finance. #governmentlet #prohibitionism
"@user @user @user c'è da vergognarsi, ha fatto bene a cancellare il suo profilo lol",train,"@user @user @user There is from shame, ha done Good. a delete on your profile lol","@user @user @user is embarrassed, he did well to delete his lol profile. @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user",1,"@user @user @user There is from shame, ha done Good. a delete on your profile lol","@user @user @user is embarrassed, he did well to delete his lol profile. @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user"
@user lo so amore grazie..,train,@user I so love Thank you..,@user I know love thank you..,2,@user I so love Thank you..,@user I know love thank you..
RT @user: Siamo dei falsi. I ragazzi vogliono le ragazze timide e poi stanno con le troie. Le ragazze vogliono i dolci e poi amano con…,train,RT @user: We are of False. I boys they want i girls shy and then are with i Sluts. The girls they want i sweet and then love with...,RT @user: We are fakes. The guys want shy girls and then they stay with sluts. The girls want sweets and then they love with...,0,RT @user: We are of False. I boys they want i girls shy and then are with i Sluts. The girls they want i sweet and then love with...,RT @user: We are fakes. The guys want shy girls and then they stay with sluts. The girls want sweets and then they love with...
in vendita Villa Stupenda a Santo Domingo http,train,in sale Villa Beautiful. a Holy Domingo http,for sale Villa Stupenda in Santo Domingo http,1,in sale Villa Beautiful. a Holy Domingo http,for sale Villa Stupenda in Santo Domingo http
RT @user: ditemi se non è una delle cose più belle del mondo http,train,RT @user: Tell me. if not is one of the things plus Beautiful of world http,RT @user: tell me if it's not one of the most beautiful things in the world http,2,RT @user: Tell me. if not is one of the things plus Beautiful of world http,RT @user: tell me if it's not one of the most beautiful things in the world http
"Pensioni, la falsa equità di Monti: di Sante Moretti Il governo Monti vuole eliminare il... http",train,"Pensions, the false fairness of Mountains: of Saints Moretti The Government Mountains He wants delete The... http","Pensions, the false equity of Monti: by Sante Moretti The Monti government wants to eliminate the... http://www.sante Moretti.com/en_en_en_en_en_en_en_en_en_en_en_en_en_en_en_en_en_en_en_en_en_en_en_en_en_en_en_en_en_en_en_en_en_en_en_en_en_en_en_en_en_en_en_en_en_en_en_en_en_en_en_en_en_en_en_en_en_en_en_en_en_en_en_en_en_en_en_en_en_en_en_en_en_en_en_en_en_en_en_en_en_en_en_en_en_en_en_en_en_en_en_en_en_en_en_en_en_en_en_en_en_en_en_en_en_en_en_en_en_en_en_en_en_en_en_en_en_en_en_en_en_en_en_en_en_en_en_en_en_en_en_en_en_en_en_en_en_en_en_en_en_en_en_en_en_en_en_en_en_en_en_en_en_en_en_en_en_en_en_en_en_en_en_en_en_en_en_en_en_en_en_en_en_en_en_en_en_en_en_en_en_en_en_en_en_en_en_en_en_en_en_en_en_en_en_en_en_en_en_en_en_en_en_en_en_en_en_en_en_en_en_en_en_en_en_en_en_en_en_en_en_en_en_en_en_en_en_en_en_en_en_en_en_en_en_en_en_en",0,"Pensions, the false fairness of Mountains: of Saints Moretti The Government Mountains He wants delete The... http","Pensions, the false equity of Monti: by Sante Moretti The Monti government wants to eliminate the... http://www.sante Moretti.com/en_en_en_en_en_en_en_en_en_en_en_en_en_en_en_en_en_en_en_en_en_en_en_en_en_en_en_en_en_en_en_en_en_en_en_en_en_en_en_en_en_en_en_en_en_en_en_en_en_en_en_en_en_en_en_en_en_en_en_en_en"
RT @user: TROVA LE DIFFERENZE. http,train,RT @user: FIND THE DIFFERENCES. http,RT @user: FIND DIFFERENCES,1,RT @user: FIND THE DIFFERENCES. http,RT @user: FIND DIFFERENCES
GOVERNO MONTI: SODDISFAZIONE PER LA COMPOSIZIONE DEL NUOVO ESECUTIVO http #terni,train,GOVERNMENT MONTI: SATISFACTION FOR THE COMPOSITION THE NEW ENFORCEMENT http #Eternal,GOVERNMENT MONTI: SATISFACE FOR THE COMPOSITION OF THE NEW ENFORCEMENT http #terni,2,GOVERNMENT MONTI: SATISFACTION FOR THE COMPOSITION THE NEW ENFORCEMENT http #Eternal,GOVERNMENT MONTI: SATISFACE FOR THE COMPOSITION OF THE NEW ENFORCEMENT http #terni
"Invece di chiedersi perché #Grillo riempie le piazze, tutti pensano solo a dargli del populista!!! Roba da non credere!!!",train,"Instead... of ask yourself why #Cricket fill i squares, all they think only a give it of populist!!! Stuff from not Believe!!!","Instead of wondering why #Grillo fills the squares, everyone just thinks about calling him a populist!!! (Translated with Google Translate)",0,"Instead... of ask yourself why #Cricket fill i squares, all they think only a give it of populist!!! Stuff from not Believe!!!","Instead of wondering why #Grillo fills the squares, everyone just thinks about calling him a populist!!! (Translated with Google Translate)"
\n\t\t\t\tBossi ribadisce: «Aut-aut a Silvio o Formigoni o il governo Monti»\n\t\t\t: «Nessun gioco delle parti:... http,train,\n\t\t\t\tBossi reiterates: ........................................................................................................................................................................................ a Silvio or Formigones or on Government Monti \n\t\t\t: No........................................................................................................................................................................................ game of the Parts:... http,"\n\t\t\tBossi reiterates: ""Aut-aut in Silvio or Formigoni or the Monti \t\t\t government: ""No game of the parties:... http: http: / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / /",1,\n\t\t\t\tBossi reiterates: . a Silvio or Formigones or on Government Monti \n\t\t\t: No. game of the Parts:... http,"\n\t\t\tBossi reiterates: ""Aut-aut in Silvio or Formigoni or the Monti \t\t\t government: ""No game of the parties:... http: http: /"
Però diciamoci la verità. L'amore alla fine é una cosa di cui non possiamo fare a meno con tutto ciò che porta. Ci fa crescere ogni volta,train,But Let's talk about it. the Truth. Love to end It's... it's... it's... it's... it's... it's... it's... it's... it's... it's... it's... it's.. it's... it's... it's... it's... it's... it's.. it's. one what of of which not We can. do a less with all this that Door. There ago grow every time,But let's face it. Love at the end is something we can't do without everything it brings. It makes us grow every time................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................,2,But Let's talk about it. the Truth. Love to end It's... it's.. it's... it's.. it's. one what of of which not We can. do a less with all this that Door. There ago grow every time,But let's face it. Love at the end is something we can't do without everything it brings. It makes us grow every time.
"#Grillo vuol fare il #Berlusconi del '94. Sparigliare i partiti e prendere il potere. Ho i brividi, a un tale vichingo preferisco il nulla.",train,"#Cricket wants do on #Berlusconi of '94. Shoot i parties and take on power. I... i chills, a a the Viking I prefer on Nothing.","#Grillo wants to make the #Berlusconi of '94. Shoot the parties and take power. I have the chills, to such a Viking I prefer nothingness.",0,"#Cricket wants do on #Berlusconi of '94. Shoot i parties and take on power. I... i chills, a a the Viking I prefer on Nothing.","#Grillo wants to make the #Berlusconi of '94. Shoot the parties and take power. I have the chills, to such a Viking I prefer nothingness."
@user #Grillo dacci un giudizio netto su #Monti. E dicci c'è una forza politica con la quale faresti alleanze? Di Pietro sì o no?,train,"@user #Cricket Give us a judgment net on #Mountains. And tell us There is one force policy with the which You'd do it. Alliances? Of Peter yes or You don't know, do you?",@user #Grillo give us a clear judgment on #Monti. And tell us is there a political force with which you would make alliances? Of Peter yes or no?,1,"@user #Cricket Give us a judgment net on #Mountains. And tell us There is one force policy with the which You'd do it. Alliances? Of Peter yes or You don't know, do you?",@user #Grillo give us a clear judgment on #Monti. And tell us is there a political force with which you would make alliances? Of Peter yes or no?
