Original,Split,Literal_Translation,Fluent_Translation,Sentiment,Cleaned_Literal_Translation,Cleaned_Fluent_Translation
estoy hasta el ojete de que me digáis que tengo cara de mala leche,train,I'm here. up to on eyelet of that me You say that I've got face of bad milk,I'm in the middle of being told I've got a bad face.,0,I'm here. up to on eyelet of that me You say that I've got face of bad milk,I'm in the middle of being told I've got a bad face.
@user Por?  Tenía pensado verla después de la segunda de Daredevil,train,@user Why? I had Thought see after of ed second of Daredevil,@user por? I was planning to see her after Daredevil’s second,1,@user Why? I had Thought see after of ed second of Daredevil,@user por? I was planning to see her after Daredevil’s second
Esto de estar feliz mola,train,This. of be Happy. cool,This happy thing is cool.,2,This. of be Happy. cool,This happy thing is cool.
Ya no es tan divertido,train,Right. no It's So Fun.,It's not that fun anymore.,0,Right. no It's So Fun.,It's not that fun anymore.
"@user te recuerdo que soy una persona que tiene criterio, equivocado, pero lo tengo",train,"@user you I remember. that I am one person that you have criterion, Wrong. but lo I've got","@user I remind you that I am a person who has judgment, wrong, but I have it",1,"@user you I remember. that I am one person that you have criterion, Wrong. but lo I've got","@user I remind you that I am a person who has judgment, wrong, but I have it"
@user @user @user con una pequeña donación hará felices a miles de chicas que no tienen  #asociacionmariloli,train,@user @user @user with one small donation He'll do Happy. a thousands of girls that no They've got #Association mariloli,@user @user @user with a small donation will make thousands of girls who don't have #partnermariloli happy,2,@user @user @user with one small donation He'll do Happy. a thousands of girls that no They've got #Association mariloli,@user @user @user with a small donation will make thousands of girls who don't have #partnermariloli happy
He probado una nueva espuma para el pelo y sí que lo deja más rizado pero se queda como efecto gomina y no me gusta.,train,He tested one new foam for on hair and Yes that lo Let's go. more curly but be left. as effect gomina and no me Like it.,I've tried a new foam for the hair and it does leave it curly but it stays as a gomina effect and I don't like it.,0,He tested one new foam for on hair and Yes that lo Let's go. more curly but be left. as effect gomina and no me Like it.,I've tried a new foam for the hair and it does leave it curly but it stays as a gomina effect and I don't like it.
@user Ojalá pudiera darte el abrazo en vivo o al menos acompañarte hoy. Siento mucho lo de tu primo,train,@user I wish I could. Give it to you. on Hug in I'm alive. o as at less to accompany you Today. I'm sorry. a lot. lo of You cousin,@user I wish I could give you the hug live or at least join you today. I am so sorry about your cousin,1,@user I wish I could. Give it to you. on Hug in I'm alive. o as at less to accompany you Today. I'm sorry. a lot. lo of You cousin,@user I wish I could give you the hug live or at least join you today. I am so sorry about your cousin
@user aquí tienes a mi bae aka una egipcia preciosa que esta aprendiendo español. Os llevareis bien  @user,train,@user Here. You got it. a My bae aka one Egyptian Beautiful. that This one. Learning Spanish. You guys. You'll take Good. @user,@user here you have my bae aka a beautiful Egyptian who is learning Spanish. You will get along well @user,2,@user Here. You got it. a My bae aka one Egyptian Beautiful. that This one. Learning Spanish. You guys. You'll take Good. @user,@user here you have my bae aka a beautiful Egyptian who is learning Spanish. You will get along well @user
"@user ya somos dos, que triste",train,"@user I've got it. We are two, that Sad.","@user there are already two of us, how sad",0,"@user I've got it. We are two, that Sad.","@user there are already two of us, how sad"
